No errors
No warnings
34 ms
data source=aircraftreports
1172 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2021-08-05T06:21:55Z,2021-08-05T06:20:00Z,,,,,,,UAE242,50.9667,-19.8,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,283,117,,AIREP,ARP UAE242 5058N 01948W 0620 F370 M48 283/117 5058N 01500W 0638 5058N 01400W KT A6EON DDL XXF 050620 J09A,
2021-08-05T06:21:55Z,2021-08-05T06:20:00Z,,,,,,,AAL104,49.05,-28.8167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,271,151,,AIREP,ARP AAL104 4903N 02849W 0620 F390 M54 271/151 4900N 02000W 0653 BEDRA KT N775AN DDL XXN 050620 F65A,
2021-08-05T06:21:53Z,2021-08-05T06:19:00Z,,,,,,,DAL246,61.25,-38.9167,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-43,335,16,,AIREP,ARP DAL246 6115N 03855W 0619 F370 M43 335/16 6259N 02959W 0653 6322N 02654W KT N198DN QXT IGW 050619 F63A,
2021-08-05T06:21:55Z,2021-08-05T06:19:00Z,,,,,,,AAL145,55.9667,-50.2167,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,316,67,,AIREP,ARP AAL145 5558N 05013W 0619 F360 M57 316/67 5403N 05701W 0653 4723N 06719W KT N793AN DDL XXN 050619 F79A,
2021-08-05T06:21:55Z,2021-08-05T06:19:00Z,,,,,,,MOCOM,55.8,-33.0167,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,268,21,,AIREP,ARP MOCOM 5548N 03301W 0619 F340 M50 268/21 5501N 04001W 0652 5201N 05001W KT MOCOM DDL IG1 050619 M30A,
2021-08-05T06:21:55Z,2021-08-05T06:19:00Z,,,,,,,DLH4C,53.4,-43.5333,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,302,58,,AIREP,ARP DLH4C 5324N 04332W 0619 F410 M46 302/58 5359N 04000W 0634 5359N 03000W KT DAIXM DDL XXH 050619 J89A,
2021-08-05T06:21:55Z,2021-08-05T06:19:00Z,,,,,,,VIR688,50.0333,-21.4667,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,283,119,,AIREP,ARP VIR688 5002N 02128W 0619 F390 M50 283/119 4959N 02000W 0625 SOMAX KT GVKSS DDL XXN 050619 J67A,
2021-08-05T06:21:55Z,2021-08-05T06:19:00Z,,,,,,,UAE220,49.8167,-32.5667,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,269,143,,AIREP,ARP UAE220 4949N 03234W 0619 F350 M46 269/143 4959N 03000W 0629 4959N 02000W KT A6EQG DDL XXH 050619 F56A,
2021-08-05T06:21:55Z,2021-08-05T06:19:00Z,,,,,,,BAW92W,49.1,-46.5833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,271,111,,AIREP,ARP BAW92W 4906N 04635W 0619 F390 M49 271/111 4900N 04000W 0644 5000N 03000W KT GZBLA DDL XXH 050619 L39A,
2021-08-05T06:21:53Z,2021-08-05T06:19:00Z,,,,,,,UAE212,48.2667,-37.85,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,273,133,,AIREP,ARP UAE212 4816N 03751W 0619 F350 M46 273/133 4858N 03000W 0650 4858N 02001W KT A6EWJ DDL XXH 050619 F57A,
2021-08-05T06:21:55Z,2021-08-05T06:19:00Z,,,,,,,SWR53T,48.0333,-15.15,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,283,135,,AIREP,ARP SWR53T 4802N 01509W 0619 F370 M51 283/135 4800N 01500W 0620 ETIKI KT HBJHN DDL XXF 050620 J88A,
2021-08-05T06:21:55Z,2021-08-05T06:19:00Z,,,,,,,DLH415,47.5,-35.9833,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-58,266,129,,AIREP,ARP DLH415 4730N 03559W 0619 F410 M58 266/129 4759N 03000W 0644 4759N 02000W KT DAIXQ DDL XXH 050620 J60A,
2021-08-05T06:21:55Z,2021-08-05T06:19:00Z,,,,,,,FWI15K,45.5667,-21.7,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-59,281,94,,AIREP,ARP FWI15K 4534N 02142W 0619 F410 M59 281/94 4600N 02000W 0627 4700N 01500W KT FHHAV QXT EUA 050619 J52A,
2021-08-05T06:22:29Z,2021-08-05T06:19:00Z,,,,,,,UAE531,16.45,67.65,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,102,21,,AIREP,UAE531 1627N06739E 0619 F380 MS47 102/21KT,
2021-08-05T06:21:53Z,2021-08-05T06:18:00Z,,,,,,,DLH457,57.8333,-37.5,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-43,297,18,,AIREP,ARP DLH457 5750N 03730W 0618 F370 M43 297/18 5700N 03000W 0646 5500N 02000W KT DABYJ DDL XXH 050618 F17A,
2021-08-05T06:21:53Z,2021-08-05T06:18:00Z,,,,,,,UAL46,53.25,-60.2167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,276,27,,AIREP,ARP UAL46 5315N 06013W 0618 F390 M57 276/27 JANJO 0633 5559N 04959W KT N29975 DDL YHO 050618 L17A,
2021-08-05T06:21:46Z,2021-08-05T06:18:00Z,,,,,,,GTI5219,51.05,-21.5167,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,276,99,,AIREP,ARP GTI5219 5103N 02131W 0618 F340 M48 276/99 5100N 02000W 0624 DINIM KT N415MC DDL IG1 050618 F03A,
2021-08-05T06:21:53Z,2021-08-05T06:18:00Z,,,,,,,RCH809,48.7833,-16.2,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,281,121,,AIREP,ARP RCH809 4847N 01612W 0618 F340 M45 281/121 BEDRA 0623 NASBA KT 00172A DDL XXI 050618 F53A,
2021-08-05T06:21:53Z,2021-08-05T06:18:00Z,,,,,,,RJA264,48.6167,-25.3167,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,274,133,,AIREP,ARP RJA264 4837N 02519W 0618 F360 M49 274/133 4758N 02000W 0639 4758N 01500W KT JYBAH DDL XXN 050618 L98A,
2021-08-05T06:21:53Z,2021-08-05T06:18:00Z,,,,,,,AFR153,48.0333,-31.1333,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,263,132,,AIREP,ARP AFR153 4802N 03108W 0618 F380 M51 263/132 4759N 03000W 0623 4759N 02000W KT FGZNB QXT AME 050618 F42A,
2021-08-05T06:21:53Z,2021-08-05T06:18:00Z,,,,,,,BAW34N,47.85,-32.25,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,271,127,,AIREP,ARP BAW34N 4751N 03215W 0618 F410 M56 271/127 4800N 03000W 0627 4900N 02000W KT GZBKR DDL XXF 050619 L51A,
2021-08-05T06:21:55Z,2021-08-05T06:18:00Z,,,,,,,AFR179,46.2333,-54.6167,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,273,74,,AIREP,ARP AFR179 4614N 05437W 0618 F350 M44 273/74 4641N 05204W 0630 4700N 05000W KT FGZNE QXS YJT 050618 F12A,
2021-08-05T06:21:53Z,2021-08-05T06:18:00Z,,,,,,,THY78C,44.9,-41.2167,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,271,60,,AIREP,ARP THY78C 4454N 04113W 0618 F370 M50 271/60 4458N 03959W 0624 4658N 03000W KT TCLLM QXT AME 050618 L65A,
2021-08-05T06:21:53Z,2021-08-05T06:18:00Z,,,,,,,UAE657,15.8667,64.1,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,119,34,,AIREP,ARP UAE657 1552N 06406E 0618 F400 M53 119/34,
2021-08-05T06:21:53Z,2021-08-05T06:18:00Z,,,,,,,THY6010,14.05,71.4333,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,113,28,,AIREP,ARP THY6010 1403N 07126E 0618 F360 M44 113/28,
2021-08-05T06:21:53Z,2021-08-05T06:17:00Z,,,,,,,BAW48Q,60.6,-56.65,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,268,42,,AIREP,ARP BAW48Q 6036N 05639W 0617 F410 M48 268/42 6100N 05000W 0639 6000N 04000W KT GZBKC DDL XXH 050617 L74A,
2021-08-05T06:21:55Z,2021-08-05T06:17:00Z,,,,,,,DLH447,59.4667,-33.7333,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-42,290,14,,AIREP,ARP DLH447 5928N 03344W 0617 F410 M42 290/14 5900N 03000W 0631 5700N 02000W KT DAIXO DDL XXH 050618 J25A,
2021-08-05T06:21:53Z,2021-08-05T06:17:00Z,,,,,,,THY181,58.3833,-48.5,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,328,73,,AIREP,ARP THY181 5823N 04830W 0617 F360 M54 328/73 5801N 05001W 0624 CUDDY KT TCLLJ QXS UAK 050617 L95A,
2021-08-05T06:21:53Z,2021-08-05T06:17:00Z,,,,,,,LOT4NL,57.8167,-60.6167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,274,70,,AIREP,ARP LOT4NL 5749N 06037W 0617 F390 M60 274/70 5802N 05956W 0620 URTAK KT SPLSG DDL YHO 050617 L47A,
