No errors
No warnings
345 ms
data source=metars
4824 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
SCJO 050615Z AUTO 36015G25KT 9999 SCT024/// 12/08 Q1014,SCJO,2021-08-05T06:15:00Z,-40.6,-73.05,12.0,8.0,360,15,25,6.21,29.940945,,,TRUE,,,,,,,,SCT,2400,,,,,,,VFR,,,,,,,,,,,,SPECI,61.0
LMML 050615Z VRB03KT CAVOK 30/24 Q1013 NOSIG,LMML,2021-08-05T06:15:00Z,35.85,14.47,30.0,24.0,0,3,,6.21,29.911417,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,78.0
KY51 050615Z AUTO 18006KT 10SM CLR 19/17 A3010 RMK AO1 T01900170,KY51,2021-08-05T06:15:00Z,43.58,-90.9,19.0,17.0,180,6,,10.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,390.0
KXSA 050615Z AUTO 00000KT 5SM BR CLR 15/15 A3010 RMK AO2 LTG DSNT E T01530153,KXSA,2021-08-05T06:15:00Z,37.87,-76.9,15.3,15.3,0,0,,5.0,30.100393,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,41.0
KW96 050615Z AUTO 00000KT 10SM CLR 16/16 A3008 RMK AO1 T01640164,KW96,2021-08-05T06:15:00Z,37.5,-77.12,16.4,16.4,0,0,,10.0,30.079725,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,35.0
KW75 050615Z AUTO 02005KT 10SM CLR 20/19 A3006 RMK AO1 T02010188,KW75,2021-08-05T06:15:00Z,37.6,-76.45,20.1,18.8,20,5,,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,8.0
KW63 050615Z AUTO 00000KT 10SM CLR 18/18 A3010 RMK AO1,KW63,2021-08-05T06:15:00Z,36.6,-78.55,18.0,18.0,0,0,,10.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,126.0
KW31 050615Z AUTO 00000KT 10SM CLR 17/17 A3010 RMK AO1 T01650165,KW31,2021-08-05T06:15:00Z,36.95,-78.18,16.5,16.5,0,0,,10.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,159.0
KVQQ 050615Z AUTO 00000KT 7SM BKN003 OVC007 24/24 A3001 RMK AO2,KVQQ,2021-08-05T06:15:00Z,30.22,-81.88,24.0,24.0,0,0,,7.0,30.008858,,,TRUE,TRUE,,,,,,,BKN,300,OVC,700,,,,,LIFR,,,,,,,,,,,,METAR,21.0
KUNU 050615Z AUTO 00000KT 10SM CLR 18/16 A3011 RMK AO2 T01760155,KUNU,2021-08-05T06:15:00Z,43.42,-88.7,17.6,15.5,0,0,,10.0,30.109253,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,281.0
KSVC 050615Z AUTO 11010KT 10SM BKN100 BKN120 24/11 A3025 RMK AO2 LTG DSNT NE T02410107,KSVC,2021-08-05T06:15:00Z,32.63,-108.15,24.1,10.7,110,10,,10.0,30.250984,,,TRUE,TRUE,,,,,,,BKN,10000,BKN,12000,,,,,VFR,,,,,,,,,,,,METAR,1638.0
KSUW 050615Z AUTO 00000KT 10SM CLR 19/15 A2997 RMK AO2 T01850150,KSUW,2021-08-05T06:15:00Z,46.68,-92.1,18.5,15.0,0,0,,10.0,29.970472,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,205.0
KSPF 050615Z AUTO 00000KT 10SM FEW120 20/08 A3010 RMK AO2 PWINO,KSPF,2021-08-05T06:15:00Z,44.47,-103.78,20.0,8.0,0,0,,10.0,30.100393,,,TRUE,TRUE,,,,,TRUE,,FEW,12000,,,,,,,VFR,,,,,,,,,,,,METAR,1191.0
KS32 050615Z AUTO 24008G14KT 10SM CLR 20/20 A2987 RMK AO2 TSNO,KS32,2021-08-05T06:15:00Z,47.42,-98.1,20.0,20.0,240,8,14,10.0,29.870079,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,435.0
KRRL 050615Z AUTO 00000KT 10SM CLR 14/14 A3008 RMK AO2 T01390139 TSNO,KRRL,2021-08-05T06:15:00Z,45.2,-89.72,13.9,13.9,0,0,,10.0,30.079725,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,397.0
KRPD 050615Z AUTO 14004KT 10SM CLR 19/17 A3004 RMK AO2 T01900165,KRPD,2021-08-05T06:15:00Z,45.42,-91.77,19.0,16.5,140,4,,10.0,30.041338,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,334.0
KRID 050615Z AUTO 06004KT 10SM SCT060 BKN095 17/14 A3014 RMK AO2,KRID,2021-08-05T06:15:00Z,39.75,-84.85,17.0,14.0,60,4,,10.0,30.138779,,,TRUE,TRUE,,,,,,,SCT,6000,BKN,9500,,,,,VFR,,,,,,,,,,,,SPECI,346.0
KRCZ 050615Z AUTO 04004KT 10SM BKN047 BKN055 21/19 A3009 RMK AO2 T02110186,KRCZ,2021-08-05T06:15:00Z,34.88,-79.77,21.1,18.6,40,4,,10.0,30.088583,,,TRUE,TRUE,,,,,,,BKN,4700,BKN,5500,,,,,VFR,,,,,,,,,,,,METAR,110.0
KPTB 050615Z AUTO 00000KT 10SM CLR 17/16 A3010 RMK AO2 T01660155 TSNO,KPTB,2021-08-05T06:15:00Z,37.17,-77.52,16.6,15.5,0,0,,10.0,30.100393,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,56.0
KPRO 050615Z AUTO 18008KT 7SM -RA BKN065 OVC070 19/18 A3006 RMK AO2 P0001 T01910183,KPRO,2021-08-05T06:15:00Z,41.83,-94.17,19.1,18.3,180,8,,7.0,30.059055,,,TRUE,TRUE,,,,,,-RA,BKN,6500,OVC,7000,,,,,VFR,,,,,,0.01,,,,,,METAR,308.0
KPO1 050615Z AUTO 01005KT 8SM 19/10 A2999 ,KPO1,2021-08-05T06:15:00Z,48.13,-105.17,19.0,10.0,10,5,,8.0,29.991142,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,621.0
KPLD 050615Z AUTO 00000KT 10SM CLR 14/11 A3013 RMK AO2,KPLD,2021-08-05T06:15:00Z,40.45,-84.98,14.0,11.0,0,0,,10.0,30.129921,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,282.0
KPDC 050615Z AUTO 00000KT 10SM CLR 19/15 A3008 RMK AO2 T01880147,KPDC,2021-08-05T06:15:00Z,43.02,-91.12,18.8,14.7,0,0,,10.0,30.079725,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,201.0
KPBH 050615Z AUTO 21003KT 10SM CLR 17/16 A3006 RMK AO2 T01680164,KPBH,2021-08-05T06:15:00Z,45.7,-90.4,16.8,16.4,210,3,,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,445.0
KOMH 050615Z AUTO 00000KT 10SM CLR 15/13 A3012 RMK AO2,KOMH,2021-08-05T06:15:00Z,38.25,-78.05,15.0,13.0,0,0,,10.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,136.0
KMRJ 050615Z AUTO 17003KT 10SM CLR 17/14 A3012 RMK AO2,KMRJ,2021-08-05T06:15:00Z,42.88,-90.23,17.0,14.0,170,3,,10.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,350.0
KMNI 050615Z AUTO 00000KT 10SM SCT038 19/18 A3007 RMK AO2,KMNI,2021-08-05T06:15:00Z,33.58,-80.22,19.0,18.0,0,0,,10.0,30.070866,,,TRUE,TRUE,,,,,,,SCT,3800,,,,,,,VFR,,,,,,,,,,,,METAR,29.0
KMDZ 050615Z AUTO 19003KT 10SM CLR 16/15 A3008 RMK AO2 T01590149 PWINO,KMDZ,2021-08-05T06:15:00Z,45.1,-90.3,15.9,14.9,190,3,,10.0,30.079725,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,446.0
KMCX 050615Z AUTO 00000KT 10SM CLR 14/13 A3012 RMK AO2 T01410131,KMCX,2021-08-05T06:15:00Z,40.72,-86.77,14.1,13.1,0,0,,10.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,205.0
KMCJ 050615Z AUTO VRB03KT 10SM OVC095 28/23 A3002 RMK A01,KMCJ,2021-08-05T06:15:00Z,29.72,-95.4,28.0,23.0,0,3,,10.0,30.02067,,,TRUE,TRUE,,,,,,,OVC,9500,,,,,,,VFR,,,,,,,,,,,,METAR,70.0
KMAO 050615Z AUTO 00000KT 10SM SCT006 OVC025 20/20 A3008 RMK AO2,KMAO,2021-08-05T06:15:00Z,34.18,-79.33,20.0,20.0,0,0,,10.0,30.079725,,,TRUE,TRUE,,,,,,,SCT,600,OVC,2500,,,,,MVFR,,,,,,,,,,,,METAR,27.0
KM25 050615Z AUTO 10SM CLR 17/16 A3012 RMK AO2 PWINO,KM25,2021-08-05T06:15:00Z,36.77,-88.58,17.0,16.0,,,,10.0,30.121063,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,157.0
KLUM 050615Z AUTO 14004KT 10SM 18/14 A3003 RMK AO2 T01760143,KLUM,2021-08-05T06:15:00Z,44.9,-91.87,17.6,14.3,140,4,,10.0,30.029528,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,271.0
KLNL 050615Z AUTO 00000KT 4SM BR CLR 14/14 A3009 RMK AO2 T01390136,KLNL,2021-08-05T06:15:00Z,46.15,-89.22,13.9,13.6,0,0,,4.0,30.088583,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,SPECI,517.0
KLDJ 050615Z AUTO 36004KT 10SM SCT030 BKN075 20/16 A3010 RMK AO2 T02030160,KLDJ,2021-08-05T06:15:00Z,40.62,-74.25,20.3,16.0,360,4,,10.0,30.100393,,,TRUE,TRUE,,,,,,,SCT,3000,BKN,7500,,,,,VFR,,,,,,,,,,,,METAR,6.0
